url,title
,
,
/201611049179/aboriginal-people-inhabited-was-mid-west-coast-much-earlier-previously-thought,Aboriginal people inhabited W.As mid-west coast much earlier than previously thought
/201611049178/grant-win-lung-fibrosis-research,Grant win for Lung Fibrosis Research
/201611049177/ocean-glider-sets-sail-sri-lanka,Ocean Glider sets sail for Sri Lanka
/201611039173/awards-and-prizes/seed-flamer-wins-wa-innovator-year,Seed flamer wins at WA Innovator of the Year
/201611039170/perth-international-arts-festival-launches-2017-program,Perth International Arts Festival launches 2017 program
/201611019163/awards-and-prizes/uwa-awarded-178-million-national-research-funding,UWA awarded $17.8 million in national research funding
/201610319162/awards-and-prizes/astrophysicist-wins-2016-young-tall-poppy-award,Astrophysicist wins 2016 Young Tall Poppy Award
/201610319160/research/services-support-homeless-need-alternative-funding-sources,Services to support the homeless need alternative funding sources
/201610319159/international/most-meth-users-too-embarrassed-seek-treatment,Most meth users too embarrassed to seek treatment
/201610289158/uwa-student-awarded-2017-rhodes-scholarship,UWA student awarded 2017 Rhodes Scholarship
,
,
/201610289155/international/fossilised-dinosaur-brain-tissue-identified-first-time,Fossilised dinosaur brain tissue identified for the first time
/201610289154/would-you-return-lost-letter,Would you return a lost letter?
/201610279149/research/new-chair-pioneer-next-generation-treatments-eye-disease,New Chair to pioneer next generation treatments for eye disease
/201610279148/research/new-invention-aids-detection-prevalent-parasitic-disease,New invention aids detection of prevalent parasitic disease
/201610269146/stricter-speed-enforcement-can-impair-driver-safety,Stricter speed enforcement can impair driver safety
/201610259143/research/new-tool-detects-malignant-breast-cancer-tissue-during-surgery,New tool detects malignant breast cancer tissue during surgery
/201610249138/international/hopping-genes-provide-clue-frogs-origin,Hopping genes provide clue to frog's origin
/201610209134/arts-and-culture/art-event-set-draw-crowd,Art event set to draw a crowd
/201610209133/international/astrophysicists-map-milky-way,Astrophysicists map the Milky Way
/201610189122/research/study-finds-pesticide-levels-wa-breast-milk-lowest-world,Study finds pesticide levels in WA breast milk lowest in world
,
,
/201610179117/awards-and-prizes/pre-term-babies-learn-night-day,Pre-term babies to learn night from day
/201610119106/international/walking-dog-keeps-owners-healthy-and-neighbourhoods-feeling-safe,Walking the dog keeps owners healthy and neighbourhoods feeling safe
/201610109103/alumni/ten-years-impact-was-only-nobel-prize,Ten years on - the impact of WA's only Nobel Prize
/201610049093/awards-and-prizes/uwa-awards-and-achievements-september-2016,UWA Awards and Achievements - September 2016
/201610049086/international/breast-density-matters-detection-breast-cancer,Breast density matters in detection of breast cancer
/201610039080/research/how-much-gluten-foods-labelled-gluten-free,How much gluten is in foods labelled 'gluten free'?
/201609279065/arts-and-culture/new-season-art-exhibitions-opens-uwa,New season of art exhibitions opens at UWA
/201609279063/business-and-industry/uwa-and-dafwa-dig-deep-soil-science-alliance,UWA and DAFWA dig deep for soil science alliance
/201609269056/international/australian-technology-installed-world-s-largest-single-dish-radio-telesco,Australian technology installed on world’s largest single-dish radio telescope
/201609209041/international/uwa-drug-offers-new-hope-young-muscular-dystrophy-sufferers,UWA drug offers new hope to young muscular dystrophy sufferers
,
,
/201609149027/research/astronomers-shed-light-different-galaxy-types,Astronomers shed light on different galaxy types
